 ,Numero Gaceta,Fecha Gaceta,Fecha Medida,Tipo de Registro,Funcionario,Cargo,Contenido,Poder,Ente,Organo,Niv.1,Niv.2,Niv.3
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,ALEXIS RAMON PEREZ PAEZ,Miembro Principal,Funge como Vicepresidente de División de Mercadeo,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,JUAN LEONARDO MONTILLA GONZALEZ,Miembro Suplente,Funge como Vicepresidente de División,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,CARMEN ROSA GUERRERO RODRIGUEZ,Miembro Suplente,Funge como Vicepresidente de Compras,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,RAMON EDUARDO BRAVO VALVERDE,Miembro Suplente,Funge como Vicepresidente de División Eficiencia de Canales,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,ELEVIS ROSA HERRERA MORALES,Miembro Suplente,Funge como Ingeniero Civil en la Gerencia de Construcción e Inspección,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,JAVIER ALEJANDRO JAIMES SUAREZ,Miembro Suplente,Funge como Gerente de Mercadeo y Nuevos Proyectos,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,JOSE JOAQUIN CHOURIO FUENMAYOR,Miembro Principal,,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,28/12/2010,Nombramiento / Designación,JOYCELIN AIDA BARRIOS CASTILLO,Miembro Suplente,,Ejecutivo,Ministerio del Poder Popular para la Planificación y Finanzas,"Banco de Venezuela, S.A. Banco Universal",Comisiones/Comités,,
,39624,25/02/2011,24/02/2011,Nombramiento / Designación,VICTOR JOSE MACHADO MARTINEZ,Director General,,Ejecutivo,Ministerio del Poder Popular para la Educación,Zonas Educativas,Zona Educativa Táchira,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,OLGA MARGARITA APARCEDO DAZA,Director,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Despacho del Ministro,Oficina de Administración,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,ENRIQUE SALVADOR ARMAS ARRIOJAS,Miembro Principal,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,HERMINIA MARGARITA HIGUERA COELLO,Miembro Suplente,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,VICTOR HUGO PINTO LARA,Miembro Principal,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,EVELYN MAR BARRETO RUEDA,Miembro Principal,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,OLGA MARGARITA APARCEDO DAZA,Miembro Principal,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,RICHARD RAFAEL RENGIFO SALCEDO,Miembro Suplente,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,DAMIAN DARIO FOSSI SALAS,Miembro Suplente,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,25/02/2011,Nombramiento / Designación,MARTHA IVETTE MARRERO ARAUJO,Miembro Suplente,,Ejecutivo,Ministerio del Poder Popular para el Transporte y Comunicaciones,Comisiones/Comite,,,
,39624,25/02/2011,24/02/2011,"Normativas (Reglamentos internos, etc)",,,Reforma parcial de la Licencia contenida en la resolución Nº 370 de fecha 31 de octubre de 2005 publicada en GO Nº 38304 de fecha 1 de noviembre de 2005,Ejecutivo,Ministerio del Poder Popular para la Energía y Petróleo,Despacho del Ministro,,,
,39624,25/02/2011,25/02/2011,"Normativas (Reglamentos internos, etc)",,,Reforma parcial de la Licencia contenida en la resolución Nº 371 de fecha 31 de octubre de 2005 publicada en GO Nº 38304 de fecha 1 de noviembre de 2005,Ejecutivo,Ministerio del Poder Popular para la Energía y Petróleo,Despacho del Ministro,,,
,39624,25/02/2011,25/02/2011,"Normativas (Reglamentos internos, etc)",,,"Se designa a la Empresa estatal Petróleos de Venezuela S.A, como ente encargado de la Administración del Fondo Simón Bolívar",Ejecutivo,Ministerio del Poder Popular para la Energía y Petróleo,"PETRÓLEOS DE VENEZUELA, S.A. (PDVSA)",,,
,39624,25/02/2011,24/01/2011,Nombramiento / Designación,,Director,,Ejecutivo,Ministerio del Poder Popular para el Ambiente,Viceministerio para Conservación Ambiental,Dirección General de Calidad Ambiental,Dirección de Calidad de Aguas,
,39624,25/02/2011,03/02/2011,Nombramiento / Designación,JOSE RAFAEL SOSA BRICEÑO,Director General,,Ejecutivo,"Ministerio del Poder Popular para Ciencia, Tecnología e Industrias Intermedias","Viceministerio para las Telecomunicaciones, Tecnologías de Información y Servicios Postales","Dirección General de Gestión, Acceso y Uso de las Tecnologías de la Información",,
,39624,25/02/2011,18/02/2011,Nombramiento / Designación,DEBORAH MARIA MENDOZA GONZALEZ,Presidente,,Ejecutivo,"Ministerio del Poder Popular para Ciencia, Tecnología e Industrias Intermedias",Fundaciones para el Desarrollo de la Ciencia y la Tecnología (FUNDACITES),Fundación para el Desarrollo de la Ciencia y la Tecnología en el Estado Miranda (FUNDACITE MIRANDA),,
,39624,25/02/2011,22/02/2011,Nombramiento / Designación,LILIAM YASMIDY VALERO BAUTISTA,Director,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,Dirección de Infraestructura y Edificación,,
,40230,16/08/2013,07/08/2013,Nombramiento / Designación,JESUS ALFREDO DE AMARAL MOLINA,Principal,Se ratifica,Ejecutivo,Ministerio del Poder Popular para la Cultura,Fundación Librerías del Sur,Comisiones/Comités,,
,40230,16/08/2013,07/08/2013,Nombramiento / Designación,ISABEL TERESA PACHECO DE VARGAS,Suplente,Se ratifica,Ejecutivo,Ministerio del Poder Popular para la Cultura,Fundación Librerías del Sur,Comisiones/Comités,,
,40230,16/08/2013,07/08/2013,Nombramiento / Designación,LUIS ALBERTO LARA ARRAIZ,Suplente,Se ratifica,Ejecutivo,Ministerio del Poder Popular para la Cultura,Fundación Librerías del Sur,Comisiones/Comités,,
,40230,16/08/2013,07/08/2013,Nombramiento / Designación,GUIBI ISABEL OVANDO CONTRERAS,Suplente,,Ejecutivo,Ministerio del Poder Popular para la Cultura,Fundación Librerías del Sur,Comisiones/Comités,,
,40230,16/08/2013,02/08/2013,"Normativas (Reglamentos internos, etc)",,,Se declara formalmente constituido el RPC- Venezuela como sistema único y centralizado de registro de todos los bienes patrimoniales de Venezuela e instrumento del Registro General del Patrimonio Cultural de Venezuela,Ejecutivo,Ministerio del Poder Popular para la Cultura,Instituto del Patrimonio Cultural (IPC),,,
,40230,16/08/2013,14/08/2013,Nombramiento / Designación,EDGAR RAMON LUGO LOPEZ,Director Regional,,Judicial,Tribunal Supremo de Justicia (TSJ),Sala Plena,Dirección Ejecutiva de la Magistratura (DEM),Direcciones Regionales,Dirección Administrativa Regional del estado Guárico
,40230,16/08/2013,14/08/2013,Nombramiento / Designación,HECTOR JOSE SALAZAR JIMENEZ,Director Regional,,Judicial,Tribunal Supremo de Justicia (TSJ),Sala Plena,Dirección Ejecutiva de la Magistratura (DEM),Direcciones Regionales,Dirección Administrativa Regional del estado Aragua
,40230,16/08/2013,15/08/2013,Nombramiento / Designación,WILFRIDO ALBERTO SALAS FELICE,Director Regional,,Judicial,Tribunal Supremo de Justicia (TSJ),Sala Plena,Dirección Ejecutiva de la Magistratura (DEM),Dirección General de Recursos Humanos,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,"Se acuerda un Crédito adicional para el Ministerio para el Deporte de Bs. 85.418.210,12 donde 85.418.210,12 son destinados al Instituto Nacional de Deporte (IND)",Ejecutivo,Ministerio del Poder Popular para el Deporte,Instituto Nacional de Deportes (IND),,,
,40230,16/08/2013,01/01/1970,Crédito adicional,,,Se acuerda un Crédito Adicional para el Ministerio de Deporte destinados al Instituto Nacional de Deportes,Ejecutivo,Ministerio del Poder Popular para el Deporte,Instituto Nacional de Deportes (IND),,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se acuerda un Crédito Adicional para el Ministerio para la Energía Eléctrica destinados a la Corporación Eléctrica Nacional (CORPOELEC),Ejecutivo,Ministerio del Poder Popular para la Energía Eléctrica,Corporación Eléctrica Nacional S.A (CORPOELEC),,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se acuerda un Crédito Adicional para el Minisiterio de Transporte Terrestre destinados a la Fundación Fondo Nacional de Transporte Urbano (FONTUR),Ejecutivo,Ministerio del Poder Popular para el Transporte Terrestre,Fondo Nacional de Transporte Urbano (FONTUR),,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para Relaciones Exteriores,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Defensa,,,,
,40230,16/08/2013,01/01/1970,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Educación,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para el Ambiente,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Procuraduría General de la República,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz",,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,,Ejecutivo,Vicepresidencia de la República,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Agricultura y Tierras,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Educación Universitaria,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Comunicación y la Información,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se acuerda un Crédito Adicional para el Ministerio del Despacho de la Presidencia y Seguimiento de la Gestión de Gobierno destinados al Instituto Nacional de Estadística (INE),Ejecutivo,Ministerio del Poder Popular del Despacho de la Presidencia y Seguimiento de la Gestión de Gobierno,Instituto Nacional de Estadística (INE),,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para el Petróleo y la Minería,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Cultura,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para el Comercio,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Salud,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Ciencia y Tecnología,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para las Comunas y Protección Social,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para la Mujer y la Igualdad de Género,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para el Hábitat y Vivienda,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para el Servicio Penitenciario,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para el Transporte Terrestre,,,,
,40230,16/08/2013,15/08/2013,Crédito adicional,,,Se otorga Cédito Adicional,Ejecutivo,Ministerio del Poder Popular para las Industrias,,,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,GERMANIA MILAGROS FERNANDEZ FERRANTE,Gerente General,,Ejecutivo,Vicepresidencia de la República,,,,
,40230,16/08/2013,01/01/1970,Nombramiento / Designación,JOSE GREGORIO SIERRALTA RODRIGUEZ,Presidente,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,DOUGLAS ARNOLDO RICO GONZALEZ,Suplente,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,JHONNY RAFAEL MENDEZ DUQUE,Director,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,PEDRO JESUS ARIAS BELLO,Suplente,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,RUBEN ALFONSO LUGO CAMPOS,Director,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,FELIX RAMON IZARRA RONDON,Suplente,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,LUIS JACINTO DE COOLS,Director,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,LAURA DANIELA VALDERRAMA ARAUJO,Suplente,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,CAIRA COROMOTO ZAMORA DE KESSLER,Director,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,16/08/2013,Nombramiento / Designación,GERARDO ALFONSO CONTRERAS PEREZ,Suplente,,Ejecutivo,"Ministerio del Poder Popular para Relaciones Interiores, Justicia y Paz","Cuerpo de Investigaciones Científicas, Penales y Criminalísticas (CICPC)",Comisiones/Comités,,
,40230,16/08/2013,29/05/2013,Cese/Destitución/Retiro,SAMUEL REINALDO MONCADA ACOSTA,Embajador Ordinario y Plenipotenciario,Saliente,Ejecutivo,Ministerio del Poder Popular para Relaciones Exteriores,Misiones Permanentes en Embajadas y Consulados,Embajada en Reino Unido de Gran Bretaña e Irlanda del Norte (Londres),,
,40230,16/08/2013,25/07/2013,Sanciones,,,"Sanción sobre la empresa Seguros Caroní, C.A., con multa de Bs. 152.000,00",Ejecutivo,Ministerio del Poder Popular de Finanzas,Superintendencia de la Actividad Aseguradora (SUDEASEG),,,
,40230,16/08/2013,15/08/2013,Delegación de Firmas/Atribuciones,0,,"Se autoriza que la firma del ciudadano N° de C.I. 4348784, en su carácter de Presidente, sea estampada en todas aquellas certificaciones y demás documentos cuya suscripción implique un gran volumen de trabajo, por medios mecánicos que ofrezcan garantías de seguridad",Ejecutivo,Ministerio del Poder Popular de Finanzas,Comisión de Administración de Divisas (CADIVI),,,
,40230,16/08/2013,17/07/2013,Nombramiento / Designación,ZENNDY LEISBETH BERRIOS ROMERO,Presidente,,Ejecutivo,Ministerio del Poder Popular para el Turismo,"Venezolana de Turismo, S.A (VENETUR S.A)",Junta Directiva,Hoteles Venetur,Estado Sucre
,40230,16/08/2013,17/07/2013,Nombramiento / Designación,MADELEINE VANESSA MONTILLA PARRA,Director Principal,,Ejecutivo,Ministerio del Poder Popular para el Turismo,"Venezolana de Turismo, S.A (VENETUR S.A)",Junta Directiva,Hoteles Venetur,Estado Sucre
,40230,16/08/2013,17/07/2013,Nombramiento / Designación,KATHYUSKA COROMOTO CRESPO GONZALEZ,Director Principal,,Ejecutivo,Ministerio del Poder Popular para el Turismo,"Venezolana de Turismo, S.A (VENETUR S.A)",Junta Directiva,Hoteles Venetur,Estado Sucre
,40230,16/08/2013,17/07/2013,Nombramiento / Designación,GREGORY CHE CARRIZALES NOGUERA,Director Suplente,,Ejecutivo,Ministerio del Poder Popular para el Turismo,"Venezolana de Turismo, S.A (VENETUR S.A)",Junta Directiva,Hoteles Venetur,Estado Sucre
,40230,16/08/2013,17/07/2013,Nombramiento / Designación,TULIO JOSE VARELA ALVAREZ,Director Suplente,,Ejecutivo,Ministerio del Poder Popular para el Turismo,"Venezolana de Turismo, S.A (VENETUR S.A)",Junta Directiva,Hoteles Venetur,Estado Sucre
,40230,16/08/2013,07/08/2013,Nombramiento / Designación,YANETH ISABEL LACRUZ PUENTES,Principal,,Ejecutivo,Ministerio del Poder Popular para la Cultura,Fundación Librerías del Sur,Comisiones/Comités,,
,40230,16/08/2013,07/08/2013,Nombramiento / Designación,MARCO ANTONIO ARIAS,Principal,Se ratifica,Ejecutivo,Ministerio del Poder Popular para la Cultura,Fundación Librerías del Sur,Comisiones/Comités,,
,40123,05/03/2013,14/02/2013,Nombramiento / Designación,JORGE LUIS UGARTEMENDIA BLANCO,Auditor II,,Ciudadano,Ministerio Público,Despacho del Fiscal General de la República,Dirección de Auditoría Interna,Coordinación de Control Posterior,
,40126,11/03/2013,08/03/2013,Nombramiento / Designación,JORGE ALBERTO ARREAZA MONTSERRAT,Vicepresidente Ejecutivo,,Ejecutivo,Vicepresidencia de la República,,,,
,40123,05/03/2013,14/02/2013,Nombramiento / Designación,EUCARIS DEL VALLE GONZALEZ BELLORIN,Auditor V,Se viene desempeñando como Auditor IV en la citada División,Ciudadano,Ministerio Público,Despacho del Fiscal General de la República,,,
,40126,11/03/2013,11/03/2013,Delegación de Firmas/Atribuciones,JORGE ALBERTO ARREAZA MONTSERRAT,Vicepresidente Ejecutivo,"Se delega la Atribución para Dictar los Decretos mediante los cuales se acuerda la Rectificación a los Presupuestos de Gastos de los Ministerios, Dictar los Decretos de Expropiación o adquisición forzosa, entre otras",Ejecutivo,Vicepresidencia de la República,,,,
,40123,05/03/2013,15/02/2013,Nombramiento / Designación,JOSE VICENTE TORRES CUELLO,Auditor IV,Se viene desempeñando como Auditor III en la citada División,Ciudadano,Ministerio Público,Despacho del Fiscal General de la República,Dirección de Auditoría Interna,Coordinación de Control Posterior,
,40123,05/03/2013,15/02/2013,Nombramiento / Designación,ANA TERESA PADRON VETANCOURT,Auditor III,Se viene desempeñando como Auditor II en la citada Dirección,Ciudadano,Ministerio Público,Despacho del Fiscal General de la República,,,
,40126,11/03/2013,11/03/2013,"Normativas (Reglamentos internos, etc)",,,"Se prorroga hasta el día sabado 16 de marzo de 2013, la vigencia de la Resolución N°075 de fecha 06 de marzo de 2013, publicada en Gaceta Oficial 40124",Ejecutivo,Ministerio del Poder Popular para Relaciones Interiores y Justicia,Despacho del Ministro,,,
,40126,11/03/2013,05/03/2013,Nombramiento / Designación,PABLO EUGENIO FERNANDEZ BLANCO,Miembro Principal,Representante del Ministerio para Relaciones Interiores y Justicia ante el Consejo,Ejecutivo,Ministerio del Poder Popular para Relaciones Interiores y Justicia,Viceministerio Del Sistema Integrado De Policia,Consejo de Igualdad y Equidad de Género,,
,40123,05/03/2013,26/02/2013,Nombramiento / Designación,CARLOS EDUARDO REYES CASTRO,Agente de Protección,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,Dirección de Seguridad y Transporte,División de Vigilancia y Protección,
,40123,05/03/2013,26/02/2013,Nombramiento / Designación,JOSE LUIS MEDINA MORALES,Agente de Protección,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,,,
,40126,11/03/2013,05/03/2013,Nombramiento / Designación,ALEJANDRA MERCEDES GUEDEZ ORBEGOZO,Miembro Suplente,Se designa como Representante del Ministerio de Relaciones Interiores y Justicia,Ejecutivo,Ministerio del Poder Popular para Relaciones Interiores y Justicia,Viceministerio Del Sistema Integrado De Policia,,,
,40123,05/03/2013,26/02/2013,Nombramiento / Designación,CARLOS AGUSTO NAVARRO BASTIDA,Agente de Protección,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,Dirección de Seguridad y Transporte,División de Vigilancia y Protección,
,40123,05/03/2013,26/02/2013,Nombramiento / Designación,CARLOS JOSE POLO NAVARRO,Agente de Protección,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,,,
,40123,05/03/2013,26/02/2013,Nombramiento / Designación,RUBEN DARIO ORTEGANO PEÑA,Agente de Protección,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,Dirección de Seguridad y Transporte,División de Vigilancia y Protección,
,40126,11/03/2013,05/03/2013,Nombramiento / Designación,YAICET HERMINIA RAMIREZ BLANCO,Miembro Nivel Nacional,Se designa como Representante de los Cuerpos de Policías en los Diversos Ámbitos Territoriales,Ejecutivo,Ministerio del Poder Popular para Relaciones Interiores y Justicia,Viceministerio Del Sistema Integrado De Policia,Consejo de Igualdad y Equidad de Género,,
,40123,05/03/2013,26/02/2013,Nombramiento / Designación,DIEGO FABIAN PEÑA RIVERO,Agente de Protección,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,,,
,40126,11/03/2013,05/03/2013,Nombramiento / Designación,ALIDA DEL CARMEN NORIEGA CARABALLO,Miembro Nivel Estadal,Se designa como Representante de los Cuerpos de Policías en los Diversos Ámbitos Territoriales,Ejecutivo,Ministerio del Poder Popular para Relaciones Interiores y Justicia,Viceministerio Del Sistema Integrado De Policia,,,
,40126,11/03/2013,05/03/2013,Nombramiento / Designación,MERCEDES ELENA ALVITE SENANDE,Miembro a Nivel Municipal,Se designa como Representante de los Cuerpos de Policías en los Diversos Ámbitos Territoriales,Ejecutivo,Ministerio del Poder Popular para Relaciones Interiores y Justicia,Viceministerio Del Sistema Integrado De Policia,Consejo de Igualdad y Equidad de Género,,
,40126,11/03/2013,05/03/2013,Nombramiento / Designación,EUGENIO DE JESUS ARTEAGA,Miembro,,Ejecutivo,Ministerio del Poder Popular para Relaciones Interiores y Justicia,Viceministerio Del Sistema Integrado De Policia,,,
,40123,05/03/2013,13/02/2013,Nombramiento / Designación,BETSY MARINA MARTINEZ MARTINEZ,Abogado Adjunto A,,Ciudadano,Ministerio Público,Vicefiscalía General de la República,Dirección General de Actuación Procesal,Dirección de Delitos Comunes,Circunscripción Judicial del estado Lara
